Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
5104,Leguminosae,Indigofera linifolia ,細葉木藍,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",flowering and fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5105,Leguminosae,,,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5106,Cyperaceae,,,"台東縣 (Taitung county), 池上鄉 (Chihshan township)",fruiting,,,,1 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5107,Cyperaceae,Schoenoplectiella juncoides (Roxb.) Lye,螢藺,"台東縣 (Taitung county), 池上鄉 (Chihshan township)",fruiting,,,,1 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5108,Leguminosae,Smithia sensitiva Aiton,坡油甘,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",fruiting,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5109,Poaceae,,,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5110,Leguminosae,Crotalaria sessiliflora L.,野百合,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5111,Compositae,Dendranthema lavandulifolium var. tomentellum,新竹油菊,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5112,Poaceae,,,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
5113,Leguminosae,Rhynchosia rothii Benth. ex Aitch.,絨葉括根,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",fruiting,,,,24 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 王秋美 (C. M. Wang), 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)",,
