Scientific Name,Common Name,Family
Abelia chinensis,糯米條,Caprifoliaceae
Abelia chinensis var. ionandra (Hayata) Masam.,台灣糯米條,Caprifoliaceae
Abelia chowii G.Hoo,福建六道木,忍冬科 (Caprifoliaceae)
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,線片長筒蕨,Hymenophyllaceae
Abutilon alba,白莔麻,Malvaceae
Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,疏花莔麻,Malvaceae
Acacia confusa Merr.,相思樹,Fabaceae
Acalypha matudai Hayata,恆春鐵莧,Euphorbiaceae
Acanthus ebracteatus var. xiamenensis,廈門老鼠簕,Acanthaceae
Acer caudatifolium Hayata,川上氏楓,Aceraceae
Acer caudatum,長尾楓,Aceraceae
Acer oliverianum subsp. formosanum (Koidz.) A.E.Murray,台灣掌葉楓,Aceraceae
Acer palmatum var. pubescens H.L.Li,台灣掌葉槭,Aceraceae
Aconitum fukutomei Hayata,臺灣烏頭,毛茛科 (Ranunculaceae)
Acorus gramineus Sol. ex Aiton,石菖蒲,Acoraceae
Actinidia auguta,軟棗彌猴桃,Actinidiaceae
Actinidia callosa Lindl.,硬齒獼猴桃,Actinidiaceae
Actinidia discolor var. callosa,異色獼猴桃,Actinidiaceae
Actinidia setosa (H.L. Li) C.F. Liang & A.R. Ferguson,台灣羊桃,Actinidiaceae
Actinostemma tenerum Griff.,合子草,Cucurbitaceae
Acystopteris taiwaniana (Tagawa) Á.Löve & D.Löve,台灣亮毛蕨,Cystopteridaceae
Acystopteris tenuisecta (Blume) Tagawa,禾稈亮毛蕨,Cystopteridaceae
Adenophora,,Campanulaceae
Adenophora triphylla (Thunb.) A. DC.,輪葉沙蔘,桔梗科 (Campanulaceae)
Adenostemma lavenia,下田菊,Compositae
Adiantum formosanum Tagawa,月牙鐵線蕨,Adiantaceae
Adiantum malesianum J.Ghatak,馬來鐵線蕨,Adiantaceae
Adiantum melasianum,馬來鐵線蕨,Adiantaceae
Adiantum philippense L.,半月形鐵線蕨,Adiantaceae
Adiantum taiwanianum,臺灣高山鐵線蕨,Pteridaceae
Adiantum × meishanianum F.S.Hsu ex Yea C.Liu & W.L.Chiou,梅山口鐵線蕨,Adiantaceae
Adinandra sp.,,Pentaphylacaceae
Aeschynomene indica,合萌,Leguminosae
Ainsliaea,,Asteraceae
Ainsliaea frangrans,香鬼督郵,Compositae
Ainsliaea kawakamii,川上氏鬼督郵,Compositae
Ainsliaea latifolia subsp. henryi,臺灣鬼督郵,菊科 (Compositae)
Ainsliaea latifolia var. taiwanensis,台灣寬葉鬼督郵,Compositae
Ainsliaea macroclinidioides Hayata,阿里山鬼督郵,Compositae
Ainsliaea sp.,,Compositae
Ajuga sp.,,Labiatae
Alangium chinense (Lour.) Harms,華八角楓,Alangiaceae
Albizia kalkora (Roxb.) Prain,山合歡,Fabaceae
Albizia procera (Roxb.) Benth.,黃豆樹,Fabaceae
Aletris,台灣粉條兒菜,Melanthiaceae
Aletris formosana,臺灣粉條兒菜,Nartheciaceae
Aletris formosana (Hayata) Makino & Nemoto,台灣粉條兒菜,Nartheciaceae
Aletris glandulifera,腺毛粉條兒菜,Nartheciaceae
Aletris spicata,束心蘭,Nartheciaceae
Aletris spicata (Thunb.) Franch.,束心蘭,Liliaceae
Aleuritopteris argentea (S.G.Gmel.) Fée,長柄粉背蕨,Pteridaceae
Aleuritopteris henryi (Christ) Fay W.Li,亨氏擬旱蕨,Pteridaceae
Aleuritopteris krameri (Franch. & Sav.) Ching,粉背蕨,Pteridaceae
Allium macrostemon,山蒜,Amaryllidaceae
Alniphyllum pterospermum Matsum.,假赤楊,Styracaceae
Alnus,,Betulaceae
Alnus formosana (Burkill) Makino,台灣赤楊,Betulaceae
Alpinia pricei Hayata,普萊氏月桃,Zingiberaceae
Alpinia uraiensis Hayata,烏來月桃,Zingiberaceae
Alpinia × ilanensis S.C.Liu & J.C.Wang,宜蘭月桃,Zingiberaceae
Alsophila fenicis (Copel.) C.Chr.,蘭嶼筆筒樹,Cyatheaceae
Alternanthera bettzikiana,毛蓮子草,Amaranthaceae
Alternenthera sp.,,Amaranthaceae
Alysicarpus ovalifolius,圓葉煉莢豆,Leguminosae
Alyxia monticola C.B. Rob.,蘭嶼念珠藤,Apocynaceae
Amaranthus sp.,,Amaranthaceae
Ampelopsis delavayana Planch. ex Franch.,三裂葉蛇葡萄,葡萄科 (Vitaceae)
Ampelopsis japonica (Thunb.) Makino,白斂,Vitaceae
Amphicarpaea bracteata subsp. edgeworthii var. japonica (Oliv.) H.Ohashi,野毛扁豆,Fabaceae
Anagallis arvensis L.,海綠,Primulaceae
Anaphalis,能高藾蕭,Compositae
Anaphalis morrisonensis,玉山抱莖籟蕭,Compositae
Anaphalis nagasawae,永澤籟蕭,Compositae
Anaphalis nagasawae var. nagasawae,永澤籟蕭,Compositae
Anaphalis nagasawae var. niitakayamensis,玉山籟簫,Compositae
Androsace umbellata,地錢草,Primulaceae
Angelica sp.,,Umbelliferae
Angiopteris evecta (G.Forst.) Hoffm.,蘭嶼觀音座蓮,Marattiaceae
Anneslea fragrans var. lanceolata Hayata,細葉茶梨,Pentaphylacaceae
Anneslea lanceolata,細葉茶梨,Compositae
Anodendron affine (Hook. & Arn.) Druce,小錦蘭,Apocynaceae
Anodendron benthamianum Hemsl.,大錦蘭,Apocynaceae
Anogramma leptophylla (L.) Link,翠蕨,鳳尾蕨科 (Pteridaceae)
Anthriscus caucalis,卡可麗峨參,Umbelliferae
Antirrhinum orontium L.,小金魚草,Scorphulariaceae
Antrophyum obovatum Baker,倒卵葉車前蕨,Pteridaceae
Apluda mutica L.,水蔗草,Poaceae
Arabis alpina var. formosana Masam. ex S.F.Huang,臺灣筷子芥,Brassicaceae
Arabis serata,齒葉筷子芥,Brassicaceae
Arachniodes globisora (Hayata) Ching,臺灣複葉耳蕨,Dryopteridaceae
Arachniodes rhomboides var. yakusimensis,屋久複葉耳蕨,Dryopteridaceae
Arachnoidea rhomboides var. rhomboides,斜方複葉耳蕨,Dryopteridaceae
Archidendron lucidum,頜垂豆,Fabaceae
Ardisia brevicaulis Diels,短莖紫金牛,Primulaceae
Ardisia cornudentata Mez,雨傘仔,Myrsinaceae
Ardisia crenata Sims,鐵雨傘,Myrsinaceae
Ardisia violacea (T. Suzuki) W.Z. Fang & K. Yao,裡菫紫金牛,Primulaceae
Arenaria takasagomontana (Masam.) S.S. Ying,高山無心菜,Caryophyllaceae
Aria alnifolia (Siebold & Zucc.) Decne.,赤楊葉梨,Rosaceae
Arisaema formosanum,臺灣天南星,Araceae
Arisaema grapsospadix Hayata,毛筆天南星,Araceae
Arisaema ilanense,宜蘭天南星,Acoraceae
Arisaema ilanense J.C.Wang,宜蘭天南星,Araceae
Arisaema sp.,,Araceae
Artemisia,,Compositae
Artemisia ,小艾,Compositae
Artemisia capillaris Thunb.,茵陳蒿,Compositae
Artemisia indica Willd.,艾,菊科 (Compositae)
Artemisia japonica Thunb.,牡蒿,Compositae
Artemisia lancea Vaniot,小艾,Compositae
Artemisia morrisonensis Hayata,細葉山艾,Compositae
Artemisia niitakayamensis,玉山艾,Compositae
Artemisia somai Hayata,相馬氏艾,菊科 (Compositae)
Artemisia somai var. batakensis (Hayata) Kitam.,太魯閣艾,Compositae
Artemisia somai var. somai Hayata,台灣狹葉艾,Compositae
Artemisia sp.,,Compositae
Arthromeris lehmannii (Mett.) Ching,肢節蕨,Polypodiaceae
Arundinella setosa Trin.,刺芒野古草,Poaceae
Asarum epigynum Hayata,上花細辛,Aristolochiaceae
Asarum hypogynum Hayata,下花細辛,Aristolochiaceae
Asarum sp.,,Aristolochiaceae
Asparagus,天門冬,Asparagaceae
Asparagus cochinchinensis,天門冬,Asparagaceae
Asparagus cochinchinensis (Lour.) Merr.,天門冬,百合科 (Liliaceae s. l.)
Asparagus filicinus,羊齒天門冬,Asparagaceae
Asphodelus tenuifolius,,Xanthohorreaceae
Aspidistra,,Asparagaceae
Aspidistra attenuata Hayata,薄葉蜘蛛抱蛋,Asparagaceae
Aspidistra daibuensis,大武蜘蛛抱蛋,Asparagaceae
Aspidistra daibuensis Hayata,大武蜘蛛抱蛋,Asparagaceae
Aspidistra mushaensis,霧社蜘蛛抱蛋,Asparagaceae
Aspidistra sp.,,Asparagaceae
Asplenium capillipes,姬鐵角蕨,Aspleniaceae
Asplenium capillipes Makino,姬鐵角蕨,鐵角蕨科 (Aspleniaceae)
Asplenium excisum,剪葉鐵角蕨,Aspleniaceae
Asplenium griffithianum Hook.,叢葉鐵角蕨,鐵角蕨科 (Aspleniaceae)
Asplenium gueinzianum,鱗柄鐵角蕨,Asplenidaceae
Asplenium matsumurae Christ,蘭嶼鐵角蕨,Aspleniaceae
Asplenium normale D.Don,生芽鐵角蕨,Asplenidaceae
Asplenium oldhamii Hance,俄氏鐵角蕨,Aspleniaceae
Asplenium pekinense Hance,北京鐵角蕨,Aspleniaceae
Asplenium prolongatum Hook.,長生鐵角蕨,Aspleniaceae
Asplenium pulcherrimum,細葉鐵角蕨,Aspleniaceae
Asplenium sp.,,Aspleniaceae
Asplenium tenuicaule Hayata,小葉鐵角蕨,Aspleniaceae
Asplenium tripteropus Nakai,三翅鐵角蕨,Aspleniaceae
Asplenium wilfordii Mett.,威氏鐵角蕨,鐵角蕨科 (Aspleniaceae)
Asplenium yoshinagae Makino,斜葉鐵角蕨,鐵角蕨科 (Aspleniaceae)
Aster,,Compositae
Aster ageratoides,山白蘭,Compositae
Aster altaicus,台東鐵桿蒿,Compositae
Aster chingshuiensis Y.C.Liu & C.H.Ou,清水馬蘭,Compositae
Aster formosanus,台灣山白蘭,Compositae
Aster formosanus Hayata,臺灣山白蘭,Compositae
Aster hispidus,狗娃花,Compositae
Aster oldhamii Hemsl.,台灣狗娃花,Compositae
Aster shimadai (Kitam.) Nemoto,島田氏雞兒腸,Compositae
Aster sp.,,Compositae
Aster taiwanensis,臺灣馬蘭,Compositae
Aster taiwanensis Kitam.,台灣馬蘭,Compositae
Astraea lobata,裂葉巴豆,Euphorbiaceae
Astragalus nokoensis Sasaki,能高大山紫雲英,豆科 (Fabaceae)
Athyrium,,蹄蓋蕨科 (Athyriaceae)
Athyrium anisopterum Christ,宿蹄蓋蕨,Athyriaceae
Athyrium atkinsonii,亞德氏蹄蓋蕨,Athyraceae
Athyrium atkinsonii Bedd.,亞德氏蹄蓋蕨,蹄蓋蕨科 (Athyriaceae)
Athyrium banajaoense (C.Chr.) Christenh.,大葉貞蕨,Dryopteridaceae
Athyrium cryptogrammoides Hayata,合歡山蹄蓋蕨,蹄蓋蕨科 (Athyriaceae)
Athyrium decurrentialatum var. decurrentialatum,貞蕨,Athyraceae
Athyrium mupinense Christ,細裂蹄蓋蕨,Dryopteridaceae
Athyrium oppositipennum Hayata,對生蹄蓋蕨,蹄蓋蕨科 (Athyriaceae)
Athyrium puncticaule (Blume) T.Moore,密腺蹄蓋蕨,蹄蓋蕨科 (Athyriaceae)
Athyrium sp.,,Athyraceae
Athyrium tozanense (Hayata) Hayata,蓬萊蹄蓋蕨,蹄蓋蕨科 (Athyriaceae)
Athyrium tripinnatum Tagawa,三回蹄蓋蕨,Dryopteridaceae
Aucuba japonica,東瀛珊瑚,Cornaceae
Aucuba japonica Thunb.,東瀛珊瑚,Cornaceae
Avena sativa L.,燕麥,Poaceae
Barnardia japonica,綿棗兒,Asparagaceae
Barnardia japonica (Thunb.) Schult. & Schult.f.,綿棗兒,Asparagaceae
Barthea barthei (Hance ex Benth.) Krasser,深山野牡丹,Melastomataceae
Begonia austrotaiwanensis,南臺灣秋海棠,Begoniaceae
Begonia buisanensis,武威山秋海棠,Begoniaceae
Begonia chitoensis var. hirsuta,多毛溪頭秋海棠,Begoniaceae
Begonia chuyunshanensis C.I Peng & Y.K.Chen,出雲山秋海棠,Begoniaceae
Begonia chuyunshaniana,出雲山秋海棠,Begoniaceae
Begonia fenicis Merr.,蘭嶼秋海棠,Begoniaceae
Begonia formosana,水鴨腳,Begoniaceae
Begonia hirtella,巴西秋海棠,Begoniaceae
Begonia sp.,,Begoniaceae
Begonia taipeiensis,台北秋海棠,Begoniaceae
Begonia taiwaniana,台灣秋海棠,Begoniaceae
Begonia taiwaniana Hayata,台灣秋海棠,Begoniaceae
Begonia wutaiana,霧台秋海棠,Begoniaceae
Belosynapsis ciliata,毛葉鴨舌疝,Commelinaceae
Belosynapsis kawakamii (Hayata) C.I Peng & Y.J.Chen,川上氏鴨舌疝,Commelinaceae
Benthamiedia japonica var. chinensis,四照花,Cornaceae
Berberis hayatana,早田氏小檗,Berberidaceae
Berberis kawakamii Hayata,高山小蘗,Berberidaceae
Berberis sp.,,Berberidaceae
Berberis tarokoensis S.Y.Lu & Yuen P.Yang,太魯閣小檗,Berberidaceae
Berchemia floribunda (Wall.) Brongn.,大黃鱔藤,Rhamnaceae
Berchemia formosana C.K.Schneid.,臺灣黃鱔藤,Rhamnaceae
Berchemia lineata (L.) DC.,小葉黃鱔藤,Rhamnaceae
Berrya ammonilla Roxb.,六翅木,Malvaceae
Biophytum sensitivum (L.) DC.,羞禮花,Oxalidaceae
Blechnidium melanopus (Hook.) Moore,雉尾烏毛蕨,Blechnaceae
Blechnum hancockii,韓氏烏毛蕨,Blechnaceae
Blumea,,Compositae
Blumea laciniata,裂葉艾納香,Compositae
Blumea oblongifolia Kitam.,台灣艾納香,Compositae
Blumea riparia var. megacephala,大頭艾納香,Compositae
Blumea riparia var. megacephala Randeria,大頭艾納香,Compositae
Blyxa japonica,日本簣藻,Hydrocharitaceae
Blyxa sp.,,Hydrocharitaceae
Boehmeria formosana,台灣苧麻,Urticaceae
Boehmeria formosana Hayata,台灣苧麻,Urticaceae
Boehmeria hwaliensis Y.C.Liu & F.Y.Lu,花蓮苧麻,Urticaceae
Boehmeria longispica Steud.,長穗苧麻,Urticaceae
Boehmeria pilushanensis Y.C.Liu & F.Y.Lu,畢祿山苧麻,Urticaceae
Boehmeria zollingeriana var. blinii (H.Lév.) C.J.Chen,長葉苧麻,Urticaceae
Boenninghausenia albiflora,臭節草,Rutaceae
Boerhavia diffusa L.,黃細心,Nyctaginaceae
Boerhavia erecta L.,直立黃細心,Nyctaginaceae
Boerhavia repens,黃細心,Nyctaginaceae
Bolbitis appendiculata (Willd.) K.Iwats.,刺蕨,Lomariopsidaceae
Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova,雲林莞草,Poaceae
Bothriospermum zeylanicum,細蘽子草,Boraginaceae
Brachypodium sylvaticum,呂宋短柄草,Poaceae
Bredia dulanica C.E.Chang,都蘭布勒德藤,Melastomataceae
Bredia oldhamii,金石榴,Melastomataceae
Bredia oldhamii Hook.f.,金石榴,Melastomataceae
Bretschneidera sinensis Hemsl.,鐘萼木,Bretschneideraceae
Buchozia japonica (Thunb.) Callm.,六月雪,Rubiaceae
Buddleja asiatica Lour.,揚波,Loganiaceae
Buddleja curviflora Hook. & Arn.,彎花醉魚木,Scrophulariaceae
Bulbophyllum retusiusculum,黃萼卷瓣蘭,Orchidaceae
"Bupleurum kaoi T.S. Liu, C.Y. Chao & T.I. Chuang",高氏柴胡,Umbelliferae
Burmannia itoana Makino,紫水玉簪,Burmanniaceae
Burmannia liukiuensis Hayata,寬翅水玉簪,Burmanniaceae
Buxus liukiuensis Makino,琉球黃楊,Buxaceae
Cajanus scarabaeoides (L.) Thouars,蔓蟲豆,Fabaceae
Calanthe densiflora,竹葉根節蘭,Orchidaceae
Calathodes polycarpa Ohwi,多果雞爪草,毛茛科 (Ranunculaceae)
Callicarpa kochiana Makino,鬼紫珠,Verbenaceae
Callicarpa randaiensis Hayata,巒大紫珠,Verbenaceae
Callicarpa remotiserrulata Hayata,疏齒紫珠,Verbenaceae
Callicarpa tikusikensis Masam.,銳葉紫珠,Verbenaceae
Calogyne pilosa subsp. chinensis (Benth.) H.S.Kiu,火花離根香,Goodeniaceae
Calophyllum inophyllum L.,瓊崖海棠,Clusiaceae
Caltha palustris var. palustris,驢蹄草,Ranuculaceae
Camellia,細葉山茶,Theaceae
Camellia brevistyla (Hayata) Cohen-Stuart,短柱山茶,Theaceae
Camellia caudata,尾葉山茶,Theaceae
Camellia salicifolia Champ.,柳葉山茶,Theaceae
Camellia transnokoensis Hayata,泛能高山茶,Theaceae
Campylotropis giraldii (Schindl.) Schindl.,彎龍骨,Fabaceae
Cantoneaster,,薔薇科 (Rosaceae)
Cantoneaster konishii,,Rosaceae
Capillipedium kwashotensis (Hayata) C.C. Hsu,綠島細柄草,Poaceae
Carex,,Cyperaceae
Carex alliiformis C.B.Clarke,林下薹,Cyperaceae
Carex alopecuroides,川上氏薹,莎草科 (Cyperaceae)
Carex atrata,南湖扁果薹,Cyperaceae
Carex bilateralis Hayata,短葉二柱薹,Cyperaceae
Carex brachyathera,垂穗薹,Cyperaceae
Carex breviculmis,短莖宿柱薹,Cyperaceae
Carex breviculmis R.Br.,短莖宿柱薹,Cyperaceae
Carex brunnea,束草,Cyperaceae
Carex brunnea Thunb.,束草,Cyperaceae
Carex capillacea,單穗薹,Cyperaceae
Carex daibuensis Hayata,大武宿柱薹,Cyperaceae
Carex dolichostachya,長穗宿柱薹,Cyperaceae
Carex doniana Spreng.,芒尖薹,Cyperaceae
Carex lui,劉氏薹,Cyperaceae
Carex macrocrandrolepis,菱果薹,莎草科 (Cyperaceae)
Carex maculata,寛囊果薹,Cyperaceae
Carex makinoa,牧野氏薹,Cyperaceae
Carex morii,森氏薹,Cyperaceae
Carex nubigena,聚生穗序薹,Cyperaceae
Carex oxyandra,球穗薹,Cyperaceae
Carex perakensis,黃穗薹,Cyperaceae
Carex rafflesiana Boott,紅頭薹,Cyperaceae
Carex rhynchachaenium,初島氏宿柱薹,Cyperaceae
Carex rochebrunei Franch. & Sav.,高山穗序薹,Cyperaceae
Carex rochebrunii,高山穗序薹,Cyperaceae
Carex sociata,中國宿柱薹,Cyperaceae
Carex sp.,,莎草科 (Cyperaceae)
Carex transalpina,大武宿柱薹,Cyperaceae
Carex tristachya var. pocilliformis Kük.,抱鱗宿柱薹,Cyperaceae
Carpesium,,Compositae
Carpesium divaricatum Siebold & Zucc.,煙管草,Compositae
Carpesium minus Hemsl.,細川氏天名精,Compositae
Carpesium nepalense,黃金珠,Compositae
Carpesium nepalense Less.,黃金珠,菊科 (Compositae)
Carpinus hebestroma Yamam.,太魯閣千金榆,Betulaceae
Carpinus kawakamii Hayata,蘭嵌千金榆,Betulaceae
Carpinus rankanense,蘭嵌千金榆,Betulaceae
Caryopteris incana (Thunb. ex Houtt.) Miq.,灰葉蕕,Verbenaceae
Cassytha filiformis,無根藤,Lauraceae
Cassytha filiformis var. duripraticola,亞毛無根藤,Lauraceae
Castanopsis cuspidata var. carlesii (Hemsl.) T.Yamaz.,長尾栲,Fagaceae
"Castanopsis fabri Hance, 1884",星刺栲,Fagaceae
Castanopsis formosanum,臺灣栲,Fagaceae
Castanopsis indica,印度栲,Fagaceae
Castanopsis uraiana (Hayata) Kaneh. & Hatus.,烏來柯,Fagaceae
Cayratia formosana Hsu & Kuoh,台灣烏斂莓,Vitaceae
Celastrus punctatus,光果南蛇藤,Celastraceae
Celastrus punctatus Thunb.,光果南蛇藤,Celastraceae
Centaurium japonicum (Maxim.) Druce,百金,Gentianaceae
Centipeda minima,石胡荽,Compositae
Centotheca lappacea (L.) Desv.,假淡竹葉,Poaceae
Centranthera cochinchinensis (Lour.) Merr.,胡麻草,Orobanchaceae
Cephalantheropsis gracilis,綠花肖頭蕊蘭,Orchidaceae
Cephalomanes javanicum (Blume) C.Presl,菲律賓厚葉蕨,Hymenophyllaceae
Cephalotaxus wilsoniana Hayata,威氏粗榧,Cephalotaxaceae
Cerastium glomeratum,球序卷耳,Caryophyllaceae
